Keyword,Related,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
truck id,0.05,480,44,0.4,0.11,533000000,Navigational,"Site links, Reviews, Indented, Image, Image pack, Knowledge panel, Related searches","1.00,0.54,0.44,0.54,0.54,0.54,0.44,0.44,0.36,0.44,0.29,0.29"
car assesories,0.9,390,74,0.63,1,581000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads","1.00,0.36,0.45,0.10,0.30,0.24,0.06,0.06,0.03,0.08,0.05,0.13"
things for cars,0.4,390,75,0.49,1,1080000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products","0.36,0.36,0.44,0.44,0.54,0.44,0.54,0.67,1.00,0.29,0.23,0.36"
dashboard accessories,0.3,390,57,0.21,1,6660000000,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.82,0.82,1.00,0.82,0.82,0.82,0.55,0.67,0.82,0.67,0.82,0.82"
new car accessories,0.25,390,68,0.22,1,588000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products","0.81,0.54,0.54,0.54,0.54,0.29,0.44,0.54,1.00,0.66,0.44,0.66"
aesthetic car decor,0.2,390,51,0.25,1,53,Commercial,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,1.00,0.80,0.80,0.67,0.53,0.53,0.53,0.36,0.36,0.44,0.44"
car accessories woman,0.2,390,53,0.36,1,200000000,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
cheap car accessories,0.2,390,60,0.48,1,197000000,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products","0.81,0.81,0.81,0.81,1.00,0.67,0.67,0.81,0.81,0.67,0.67,0.81"
cute car decor,0.2,390,50,0.27,1,60,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","0.36,1.00,0.44,0.54,0.54,0.36,0.36,0.36,0.44,0.44,0.36,0.29"
best car gadgets,0.15,390,59,0.22,0.99,146000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products","1.00,0.44,0.36,0.44,0.29,0.29,0.44,0.54,0.81,0.36,0.29,0.36"
car hangers,0.15,390,28,0.27,1,30600000,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.54,0.66,0.54,0.54,0.44,0.36,0.36,0.36,0.54,1.00,0.29,0.54"
gadgets for car,0.15,390,63,0.4,1,723000000,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","0.24,1.00,0.44,0.36,0.55,0.36,0.24,0.65,1.00,0.36,0.11,0.18"
buy a car on amazon,0.1,390,37,1.75,0.26,92,Transactional,"FAQ, Reviews, Indented, Image, Image pack, People also ask, Related searches","0.54,0.54,0.67,1.00,1.00,0.81,0.81,1.00,0.67,0.67,0.43,0.81"
car hanger decor,0.1,390,34,0.2,1,76,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.00,0.00,0.72,0.00,1.00,0.48,0.32,0.00,0.88,0.48,0.00,0.32"
car parts for,0.1,390,100,0.99,0.31,1970000000,Commercial,"Site links, Reviews, Indented, Image pack, Video carousel, Local pack, Related searches","0.01,0.23,1.00,0.54,0.10,1.00,0.36,0.36,0.29,0.81,0.36,0.67"
cool car accessories for guys,0.1,390,48,0.28,1,51100000,Commercial,"Site links, Image, Video, Related searches, Popular products","1.00,1.00,0.67,0.67,0.80,0.67,0.44,0.67,0.80,0.67,0.67,0.67"
cool stuff for a car,0.1,390,51,0.45,1,348000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.44,0.44,0.44,0.00,0.54,0.54,0.36,0.67,1.00,0.44,0.00,0.44"
decor for car,0.1,390,50,0.25,1,801000000,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.36,1.00,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00"
for car parts,0.1,390,100,1.26,0.45,2070000000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Local pack","0.04,1.00,1.00,0.07,0.01,0.21,0.11,0.26,0.59,0.39,0.26,0.59"
gadgets for cars,0.1,390,54,0.43,1,75400000,Commercial,"Site links, FAQ, Reviews, Image, Video, Related searches, Popular products","0.36,0.18,0.25,0.18,0.30,0.18,0.16,0.25,1.00,0.18,0.11,0.16"
interior for car,0.1,390,56,0.83,0.82,1220000000,Informational,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,0.81,1.00,0.81,0.36,0.44,0.29,0.36,0.36,0.36,0.19,0.19"
luxury car accessories,0.1,390,33,0.25,1,178000000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches","0.66,0.66,0.66,0.66,0.81,0.66,0.81,0.66,0.66,0.81,0.66,1.00"
men car accesories,0.1,390,46,0.42,1,98,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom","0.00,0.00,0.76,0.00,0.76,0.76,1.00,0.05,0.24,0.00,0.00,0.00"
parts for my car,0.1,390,100,1.07,0.43,2390000000,Commercial,"Indented, Image, Video, Local pack, Related searches","0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.54,0.54"
auto pars store,0.05,390,100,0.47,0.23,60,Commercial,"Site links, Reviews, Indented, Image, Image pack, Local pack, Top stories, Related searches","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
auto part shop,0.05,390,100,0.83,0.28,85,Commercial,"Site links, Indented, Video, Video carousel, Local pack, Related searches, Ads top","0.39,0.21,0.11,0.13,0.88,0.26,0.26,0.21,0.17,1.00,0.17,0.21"
auto parts ebay,0.05,390,71,0.43,0.96,54,"Navigational, Transactional","Site links, Reviews, Indented, Video carousel, Related searches","0.44,0.36,0.36,0.36,0.44,0.81,0.36,0.29,0.23,0.81,1.00,1.00"
auto parts on ebay,0.05,390,66,0.43,0.96,55,"Navigational, Commercial","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,1.00,0.67,0.67,0.02,0.29,0.54,0.29,0.19,0.36,0.54,0.23"
auto parts sale,0.05,390,100,0.79,0.68,508000000,Transactional,"Site links, Indented, Video carousel, People also ask, Local pack, Related searches","1.00,1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.54,0.66,1.00,0.43"
auto spare parts,0.05,390,93,0.95,0.65,239000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, People also ask, Local pack, Related searches, Ads bottom","0.67,0.54,0.67,0.54,0.44,0.81,0.28,0.67,0.67,0.54,1.00,0.44"
autoaprts,0.05,390,100,0.72,0.25,112000000,Commercial,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
autos part,0.05,390,100,0.82,0.35,7080000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, People also ask, Local pack, Related searches, Ads top","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
autozone car accessories,0.05,390,59,0.12,1,37,"Navigational, Commercial","Site links, Reviews, Indented, Image, Video, People also ask, Local pack, Related searches, Popular products, Ads bottom","1.00,0.81,0.54,0.44,0.44,0.36,0.44,0.29,0.44,0.29,0.36,0.44"
boho car accessories,0.05,390,15,0.41,1,52,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products","0.81,0.81,1.00,1.00,0.81,0.44,0.54,0.54,0.54,0.54,0.54,0.81"
buy auto parts online,0.05,390,98,0.96,0.93,950000000,Transactional,"Site links, Image, Video, People also ask, Related searches, Ads bottom","1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.67,0.81,0.81,1.00"
car accessories exterior,0.05,390,53,0.47,1,71800000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.18,1.00,1.00,0.66,1.00,0.81,0.81,0.66,0.66,0.54,0.66,0.54"
car d,0.05,390,43,1.54,0.24,14830000000,Commercial,"Site links, Indented, Image pack, People also ask, Knowledge panel, Related searches","0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00"
car decoration dashboard,0.05,390,34,0.24,1,53,"Informational, Commercial","Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads","0.81,1.00,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.66,0.00,0.66"
car hanging ornaments,0.05,390,28,0.25,1,40,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.81,1.00,1.00,1.00,1.00,0.66,0.54,0.81,0.66,0.81,0.66,0.81"
car ideas,0.05,390,38,1.27,0.23,1410000000,Informational,"Reviews, Image, Image pack, Video, People also ask, Related searches","0.81,1.00,0.81,0.81,0.67,0.67,0.81,0.67,0.81,0.43,0.54,0.81"
car lart,0.05,390,85,1.26,0.45,4470000000,Navigational,"Site links, Reviews, Image pack, Video, Related searches, Ads bottom","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
car parta,0.05,390,100,1.26,0.45,2140000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Top stories, Related searches, Ads bottom","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
car parts under,0.05,390,42,0,0.65,2090000000,Informational,"Site links, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches","0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.66,0.81,1.00,0.81,1.00"
cheapest auto parts store,0.05,390,80,0.88,0.57,54900000,Commercial,"Site links, Reviews, Indented, People also ask, Local pack, See results about, Related searches","1.00,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.66,0.66,0.66,0.54"
costco snow chains,0.05,390,29,0.38,0.94,87,Transactional,"Indented, Image, Video, People also ask, Related searches, Ads bottom","0.05,0.00,0.00,0.00,0.00,0.02,0.06,0.45,1.00,0.55,0.45,0.24"
custom auto parts,0.05,390,47,0.79,0.64,318000000,Commercial,"Site links, Reviews, Indented, Image, Local pack, Related searches","1.00,0.82,1.00,1.00,1.00,0.82,0.82,1.00,0.82,1.00,0.67,0.82"
ebay com car parts,0.05,390,74,0.51,0.82,54,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","0.35,0.35,0.54,0.44,0.54,0.81,0.81,1.00,0.66,1.00,0.66,1.00"
ebay com motors,0.05,390,87,1.12,0.68,58100000,"Navigational, Transactional","Site links, Reviews, Video carousel, Related searches","0.81,0.81,1.00,1.00,0.67,0.81,0.81,0.67,0.54,0.54,0.67,0.54"
ebay motor com,0.05,390,83,0.53,0.09,75,Navigational,"Site links, Image, Image pack, Video, People also ask, Related searches, Ads bottom","1.00,0.67,0.67,0.81,1.00,0.67,0.67,0.35,0.43,0.35,0.54,0.54"
ebay motor parts and accessories,0.05,390,73,0.39,0.46,47,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, Related searches","0.66,0.44,0.66,0.81,0.66,0.66,0.54,0.66,0.66,0.54,0.66,1.00"
ebay searcher,0.05,390,73,0.15,0.04,84,Navigational,"Site links, Reviews, Image, Image pack, Video carousel, People also ask, Related searches","0.24,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
ebay used auto parts by owner,0.05,390,76,0.44,0.24,56,"Navigational, Transactional","Site links, Reviews, Indented, People also ask, Related searches","1.00,0.81,0.66,0.54,0.44,0.19,0.29,0.29,0.19,0.12,0.23,0.19"
ebay.com ebay,0.05,390,100,1.53,0.57,74,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Knowledge panel, Twitter carousel, Related searches","0.81,0.54,0.43,0.43,0.28,0.54,0.66,0.66,0.66,0.81,1.00,1.00"
electronics for the car,0.05,390,58,0.77,0.72,927000000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches, Popular products","0.81,1.00,0.67,0.81,0.44,0.81,0.29,0.36,0.36,0.23,0.29,0.23"
everythingauto,0.05,390,32,3.37,0.21,2000000000,Informational,"Indented, Image pack, Video carousel, Related searches","0.81,0.81,0.67,0.81,0.81,1.00,0.44,0.44,0.67,0.36,0.28,0.36"
interior truck accessories,0.05,390,27,0.38,1,69400000,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","1.00,0.67,0.56,0.67,0.83,0.67,0.67,0.67,0.83,0.67,0.56,0.67"
mazda accesories,0.05,390,43,0.31,0.93,109000000,Commercial,"Site links, Indented, Image, Related searches, Popular products","0.16,0.20,0.56,0.25,0.25,0.16,0.20,0.12,0.20,0.16,1.00,0.12"
mazda accessories cx-5,0.05,390,17,0.37,1,20000000,Informational,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products, Ads bottom","0.05,0.02,0.00,0.00,0.11,0.16,1.00,0.20,0.20,0.46,0.16,0.68"
mazda cx 5 floor mats,0.05,390,17,0.75,1,80,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products","0.29,0.23,0.15,0.19,0.23,0.44,0.54,0.44,1.00,0.67,0.54,0.81"
mazda cx5 floor mats,0.05,390,10,0.75,1,89,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products","1.00,0.66,0.44,0.54,0.66,0.44,0.44,0.44,0.36,0.29,0.23,0.29"
must haves for car,0.05,390,46,0.31,1,22900000,Commercial,"Reviews, Image, Image pack, Video, People also ask, Related searches","0.05,0.83,1.00,0.06,0.67,0.54,0.83,0.83,0.67,0.67,0.02,0.83"
parts for sale,0.05,390,98,1.22,0.39,2470000000,Transactional,"Site links, Indented, Image, Local pack, Related searches","0.55,1.00,0.67,0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.55,0.82"
parts of auto,0.05,390,63,0.82,0.35,1780000000,Informational,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
road trip accessories,0.05,390,40,0.21,1,89900000,Commercial,"Site links, Image, Video, Related searches, Popular products","1.00,1.00,1.00,1.00,0.67,0.55,0.55,0.82,0.82,0.67,0.67,1.00"
seat covers for cars girly,0.05,390,33,0.24,1,42,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
used auto parts ebay,0.05,390,67,0.45,0.56,64,"Navigational, Transactional","Site links, Reviews, Video carousel, People also ask, Related searches","0.23,0.29,0.54,0.54,1.00,0.54,1.00,0.66,0.54,0.36,0.66,0.66"
wirecutter dashcam,0.05,390,45,1.52,0.08,57,Informational,"Indented, Image pack, Video, Video carousel, Related searches","1.00,1.00,0.34,1.00,1.00,0.43,0.18,0.66,0.54,0.28,0.18,0.10"
car assories,0.85,320,75,0.59,0.99,684000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products","0.00,0.03,0.00,0.03,0.81,0.54,0.44,0.23,0.67,0.54,0.54,1.00"
car items,0.55,320,81,0.6,1,9550000000,Commercial,"Site links, Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches, Popular products","0.81,0.67,0.54,0.54,0.54,0.43,0.67,0.81,1.00,0.67,0.43,0.54"
stuff for cars,0.5,320,77,0.53,1,415000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, People also ask, Knowledge panel, Related searches, Popular products","0.82,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.42,0.67,0.67"
newest car accessories,0.35,320,69,0.22,1,612000000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches, Popular products, Shopping ads, Ads top","0.54,0.29,0.29,0.00,0.36,0.36,0.36,0.44,1.00,0.44,0.00,0.44"
auto accessory store,0.3,320,65,0.94,0.43,55800000,Commercial,"Site links, Reviews, Indented, Image pack, People also ask, Local pack, Related searches","1.00,0.36,0.29,0.23,0.36,0.29,0.36,0.29,0.19,0.12,0.15,0.23"
car accessory store near me,0.25,320,70,0.95,0.83,53200000,Transactional,"Site links, FAQ, Reviews, Indented, Local pack, Related searches","0.82,1.00,0.82,0.82,0.67,0.82,0.82,0.55,0.82,0.44,0.44,0.67"
car accessory stores near me,0.25,320,67,0.95,0.83,34900000,Transactional,"Site links, Reviews, Indented, Local pack, Related searches","0.81,1.00,0.81,0.81,0.67,0.81,0.81,0.54,0.81,0.43,0.43,0.67"
aesthetic car accessories,0.2,320,64,0.23,1,79,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches","0.66,0.66,0.82,1.00,1.00,0.66,0.66,0.66,0.66,1.00,0.53,0.82"
car accessories stores near me,0.2,320,75,0.95,0.83,201000000,Transactional,"Site links, Reviews, Indented, Local pack, Related searches","0.82,1.00,0.82,0.82,0.67,0.82,0.82,0.55,0.82,0.44,0.67,0.67"
cute car accesories,0.15,320,53,0.27,1,77,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","0.65,0.25,0.35,0.55,1.00,0.55,0.55,0.25,0.35,0.25,0.55,0.25"
carid com car accessories & parts,0.1,320,48,0.82,0.99,61,Navigational,"Site links, Reviews, Indented, Image pack, People also ask","1.00,1.00,1.00,1.00,1.00,0.67,0.82,0.42,0.53,0.53,0.53,0.53"
parts for cars online,0.1,320,96,0.83,0.91,483000000,Commercial,"Indented, Image, Video, Related searches","0.42,1.00,1.00,1.00,1.00,0.42,0.67,0.67,0.27,0.67,0.53,0.82"
.parts,0.05,320,100,0.77,0.12,8190000000,Informational,"Site links, Image, Image pack, Video carousel, Local pack","0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.16,0.10,0.00,1.00,0.00"
aftermarket car parts websites,0.05,320,95,0.77,0.73,7430000,Commercial,"Site links, Reviews, Image, Local pack, Related searches","1.00,1.00,0.81,0.67,0.67,0.67,0.54,0.54,0.44,0.54,0.81,0.67"
auto anything com,0.05,320,58,2.17,0.5,1300000000,Navigational,"Site links, Reviews, Indented, Knowledge panel, Related searches, Ads bottom","1.00,1.00,0.82,0.67,0.82,0.54,0.67,0.67,0.44,0.36,0.44,0.54"
auto anything.com,0.05,320,62,2.17,0.5,1370000000,Navigational,"Site links, Reviews, Indented, Knowledge panel, Ads top","1.00,0.45,0.10,0.10,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10"
auto parts aftermarket,0.05,320,81,0.76,0.71,46300000,Commercial,"Site links, Reviews, Indented, Image, Image pack, People also ask, Local pack, Related searches","0.11,0.20,0.16,0.11,0.11,0.08,0.13,0.08,0.07,0.07,0.05,1.00"
auto parts cars,0.05,320,100,0.91,0.43,348000000,Commercial,"Site links, Indented, Image, People also ask, Local pack, Related searches","0.44,0.44,0.66,0.66,0.81,0.44,1.00,0.35,0.54,0.54,0.35,0.54"
auto shop parts,0.05,320,100,0.83,0.28,822000000,Commercial,"Site links, Image, Video carousel, Local pack, Related searches","0.29,0.36,0.44,0.66,1.00,0.36,0.44,0.36,0.54,0.29,0.29,0.36"
automobile part,0.05,320,93,0.72,0.25,610000000,Informational,"Site links, FAQ, Reviews, Image, Image pack, Video carousel, People also ask, Local pack, Related searches","1.00,0.54,0.15,0.04,0.22,0.06,0.66,0.81,0.81,1.00,1.00,0.43"
automobile parts store,0.05,320,100,0.47,0.23,244000000,Commercial,"Site links, Reviews, Indented, Image, People also ask, Local pack, Related searches","0.33,0.00,0.00,0.00,0.33,0.33,1.00,0.67,0.33,1.00,0.33,0.67"
automotive car parts,0.05,320,100,0.84,0.62,396000000,Commercial,"Site links, FAQ, Reviews, Indented, Image, Image pack, Video carousel, Local pack, Related searches, Ads bottom","0.28,0.66,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
automotive target,0.05,320,35,0.71,0.19,164000000,Navigational,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","0.59,0.00,0.01,0.00,0.01,0.00,0.72,0.59,1.00,0.48,0.00,0.00"
bmw accessories amazon,0.05,320,29,0.5,1,50,"Navigational, Transactional","Image, Video, Related searches","0.82,1.00,0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.67,0.67"
buy cars parts,0.05,320,100,0.99,0.83,504000000,Transactional,"Site links, FAQ, Reviews, Image, Video carousel, People also ask, Local pack, Related searches, Ads top, Ads bottom","0.66,0.81,1.00,0.81,0.81,0.81,0.81,0.54,0.43,0.43,0.43,0.66"
car accessories red,0.05,320,30,0.2,1,357000000,Informational,"Reviews, Indented, Image, Image pack, Knowledge panel, Related searches, Popular products","0.00,0.81,1.00,0.00,0.81,0.66,0.81,0.81,0.81,0.81,0.00,1.00"
car accessory gifts,0.05,320,52,0.29,1,19200000,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products, Shopping ads","0.03,0.03,0.03,0.00,0.03,0.01,0.03,0.52,1.00,0.04,0.06,0.30"
car aid,0.05,320,44,0.21,0.22,921000000,Transactional,"Site links, Reviews, Indented, Image, Image pack, Video, Knowledge panel, Related searches","0.35,1.00,0.35,0.28,0.66,1.00,0.44,0.35,0.54,0.66,0.23,0.66"
car and truck accessories,0.05,320,50,1.13,0.45,127000000,Commercial,"Site links, Reviews, Image, Video carousel, Local pack, Related searches, Popular products","0.44,0.36,0.36,0.36,0.29,0.36,0.36,0.44,0.44,0.36,1.00,1.00"
car cute,0.05,320,45,1.96,0.32,1140000000,Informational,"Reviews, Indented, Image, Image pack, Video, Related searches","1.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00"
car decorating,0.05,320,42,0.2,1,89900000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.04,0.05,0.05,1.00,0.08,0.03,0.04,0.16,0.05,0.08,0.01,0.02"
car decorations exterior,0.05,320,42,0.25,1,94,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.81,1.00,0.81,0.54,0.67,0.67,0.54,0.43,0.54,0.43,0.54,0.67"
car part shop,0.05,320,100,0.96,0.37,2750000000,Commercial,"Site links, Reviews, Indented, Image, Video carousel, Local pack, Related searches","0.82,0.82,0.82,1.00,1.00,0.67,1.00,0.67,0.82,0.54,0.54,0.67"
car parts ebay,0.05,320,79,0.43,0.86,54,"Navigational, Commercial","Site links, Reviews, Image pack, Video, People also ask, Related searches","1.00,0.29,0.54,0.54,0.67,0.54,0.42,0.42,0.29,0.42,0.29,0.83"
car parts ebay motors,0.05,320,72,0.48,0.48,57,"Navigational, Commercial","Site links, Reviews, Image pack, Video, Related searches, Popular products","1.00,0.72,0.48,0.59,0.39,0.00,0.00,0.04,0.02,0.07,0.11,0.09"
car pink accessories,0.05,320,33,0.21,1,99,Commercial,"Image, Image pack, Video, Related searches, Popular products","1.00,0.04,0.81,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.45,0.45"
car_parts,0.05,320,100,1.69,0.21,2310000000,Navigational,"Site links, Reviews, Image, Local pack, Related searches","0.81,0.81,0.81,0.67,0.53,0.67,0.81,0.81,0.53,0.67,0.81,1.00"
cardi car parts,0.05,320,60,0.95,0.21,99,Navigational,"Site links, Reviews, Indented, Image, Image pack, Related searches","1.00,1.00,0.82,1.00,1.00,0.82,0.66,0.66,0.66,0.52,0.66,0.52"
chewy dog car seats,0.05,320,45,1.73,1,73,Transactional,"Site links, FAQ, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads","1.00,1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.67,1.00,0.67,1.00"
cougar in car,0.05,320,30,0,0,113000000,Informational,"Reviews, Indented, Image, Image pack, People also ask, Related searches","0.81,0.67,0.67,1.00,0.81,0.54,0.54,0.29,0.35,0.35,0.35,0.29"
custom parts,0.05,320,43,1.04,0.31,1070000000,Navigational,"Site links, Indented, Image, Image pack, Video, Local pack, Related searches","1.00,0.36,0.29,0.29,0.36,0.36,0.29,0.29,0.23,0.29,0.36,0.36"
dog travel accessories,0.05,320,43,0.42,1,99300000,Commercial,"Site links, Reviews, Indented, Image, Related searches, Popular products, Shopping ads","1.00,1.00,1.00,0.82,0.67,0.53,0.67,0.82,0.82,0.53,0.53,0.82"
ebay espanol,0.05,320,49,0.47,0.06,15600000,"Navigational, Transactional","Site links, Reviews, Image, Video, Related searches","0.24,0.24,1.00,0.09,0.30,0.36,0.45,0.36,0.54,0.36,0.24,0.36"
ebay for sale near me,0.05,320,92,0.38,0.11,41,Transactional,"Site links, Video, Related searches","1.00,0.81,0.44,0.81,0.66,0.36,0.29,0.19,0.15,0.29,0.19,0.19"
ebay motors parts and accessories vintage,0.05,320,41,0.35,0.57,39,"Navigational, Transactional","Site links, Reviews, Indented, Image, Video, People also ask, Related searches, Popular products","0.82,0.67,1.00,0.67,0.55,0.82,0.67,0.44,0.44,0.55,0.55,0.55"
ebay motors us,0.05,320,87,0.6,0.44,31900000,"Navigational, Transactional","Site links, Reviews, People also ask, Related searches","0.30,0.20,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
ebay parts cars,0.05,320,82,0.38,0.78,54,"Navigational, Transactional","Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches","0.50,0.10,0.00,0.10,0.10,0.10,0.25,0.20,0.10,0.05,1.00,0.05"
ebay parts for car,0.05,320,77,0.38,0.78,62,Navigational,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","1.00,0.31,0.25,0.19,0.25,0.44,0.50,0.13,0.00,0.50,0.13,0.63"
ebaymotors com parts & accessories,0.05,320,56,0,0.1,50,Informational,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Ads bottom","0.10,0.06,0.08,0.10,0.45,0.76,1.00,0.16,0.00,0.00,0.00,0.00"
etsy car accessories,0.05,320,54,0.26,1,24,Transactional,"Site links, Reviews, Image, Video, Related searches, Popular products","0.82,0.82,0.67,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.67,0.82"
hanging car ornaments,0.05,320,25,0.25,1,53,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.66,0.81,0.66,0.00,1.00,0.44,0.54,0.81,1.00,0.81,0.00,0.81"
hippie car accessories,0.05,320,16,0.31,1,30,Commercial,"Site links, Video, Related searches, Popular products","1.00,1.00,1.00,0.81,0.81,0.43,0.43,0.43,0.54,0.54,0.67,0.81"
hippie steering wheel cover,0.05,320,24,0.19,1,50,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.82,0.82,1.00,0.82,1.00,0.53,0.53,0.82,0.53,0.67,0.42,0.67"
interior accessories,0.05,320,58,0.36,0.69,332000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, Related searches, Popular products, Shopping ads","1.00,0.67,0.56,0.56,0.56,0.44,0.56,0.44,0.44,0.56,0.67,0.67"
mazda floor mats,0.05,320,22,0.38,1,90,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products","0.54,0.67,0.54,0.54,0.67,0.67,0.67,1.00,1.00,1.00,0.67,0.81"
must have accessories,0.05,320,29,0.33,0.81,616000000,Commercial,"Site links, Indented, Image, People also ask, Related searches","0.66,0.82,0.66,0.82,0.66,0.66,0.66,0.82,1.00,0.66,0.66,0.66"
napa product,0.05,320,62,1.53,0.59,40500000,Navigational,"Site links, Reviews, Image, Image pack, People also ask, Local pack, Related searches","0.00,0.01,0.00,0.00,0.10,1.00,0.13,0.01,0.01,0.01,0.05,0.00"
