关键词,关键词翻译,ABA排名,6月搜索量,5月搜索量,搜索增长率,月购买量,购买率,商品数,供需比,SPR,标题密度,点击集中度,货流值,均价,评分数,评分值,PPC价格,同比增长值,同比增长率,近3个月增长值,近3个月增长率,所属类目
bronco emblem,野马标志,"270,531","4,690","-74,920",-6.26%,79,1.70%,859,5.5,34,8,34.0%,4.0%,$24.99,31,4.5,$1.00,-121,-2.52%,-313,-6.26%,Automotive Parts & Accessories; Toys & Games; Computers
2023 bronco accessories 4 door,2023年野马配件4门,"560,352","2,528","-30,680",-8.24%,21,0.87%,"2,178",1.2,27,0,18.4%,6.4%,$22.99,151,4.5,$1.48,,,-227,-8.24%,Automotive Parts & Accessories
bronco license plate frame,野马车牌框架,"574,559","2,470","-29,475",-8.38%,238,9.64%,570,4.3,30,2,40.0%,6.8%,$19.99,22,4.5,$1.36,-50,-1.98%,-226,-8.38%,Automotive Parts & Accessories; Sports & Outdoors
bronco sport accessories 2021,野马运动配件 2021,"1,750,788",583,"-6,156",-9.47%,3,0.54%,"9,574",0.1,13,0,22.2%,1.6%,$28.99,97,4.5,$0.46,,,-61,-9.47%,Automotive Parts & Accessories; Cell Phones & Accessories
bronco stickers,野马贴纸,"1,951,747",501,"-5,235",-9.57%,31,6.36%,"4,573",0.1,12,0,43.7%,2.8%,$9.99,16,4.3,$0.28,-90,-15.23%,-53,-9.57%,Automotive Parts & Accessories; Sports & Outdoors; Computers
mabett bronco accessories,马贝特布朗克配件,"329,561","4,027","-41,644",-9.67%,69,1.72%,"1,263",3.2,30,0,22.9%,0.5%,$59.99,62,4.5,$0.31,,,-891,-16.66%,Automotive Parts & Accessories; Cell Phones & Accessories
ford bronco sunshade,福特野马遮阳篷,"1,046,048","1,187","-11,942",-9.94%,66,5.60%,454,2.6,28,2,31.0%,7.9%,$26.99,117,4.4,$2.13,416,53.96%,-131,-9.94%,Automotive Parts & Accessories
bronco cargo cover,野马货舱盖,"1,420,320",748,"-7,487",-9.99%,4,0.65%,"1,431",0.5,21,0,55.5%,1.6%,$59.99,8,3.7,$0.99,-57,-7.08%,-83,-9.99%,Automotive Parts & Accessories; Pet Supplies
bronco door sill protector,野马门槛保护器,"814,540","1,765","-17,270",-10.22%,23,1.35%,121,14.6,27,3,31.3%,1.5%,$27.99,68,4.3,$0.43,851,93.11%,-201,-10.22%,Automotive Parts & Accessories
bronco sport seat covers,野马运动座套,"2,203,271",379,"-3,143",-12.06%,4,1.07%,"1,162",0.3,13,0,35.7%,0.9%,$115.00,3,1.7,$0.99,,,-225,-34.30%,Automotive Parts & Accessories; Pet Supplies
bronco sport,野马运动,"389,302","3,510","-28,560",-12.29%,170,4.85%,"37,454",0.1,30,43,14.1%,3.5%,$22.95,14,4.5,$0.81,218,6.62%,-492,-12.29%,Automotive Parts & Accessories; Cell Phones & Accessories; Handmade
bronco fog lights,布朗科雾灯,"1,587,194",651,"-4,435",-14.68%,7,1.09%,863,0.8,19,0,57.5%,0.7%,$289.99,8,5.0,$2.11,,,-112,-14.68%,Automotive Parts & Accessories
bronco bimini top 4 door,野马比米尼顶级 4 门,"824,277","1,644","-11,191",-14.69%,19,1.20%,83,19.8,28,1,58.3%,4.1%,$49.99,52,3.7,$2.03,,,-283,-14.69%,Automotive Parts & Accessories
bronco sunshade,野马遮阳篷,"661,057","2,216","-14,714",-15.06%,32,1.47%,464,4.8,30,6,34.4%,7.9%,$25.99,106,4.3,$2.04,-34,-1.51%,-393,-15.06%,Automotive Parts & Accessories
2021 ford bronco accessories,2021年福特野马配件,"964,297","1,370","-8,788",-15.59%,13,0.96%,"9,680",0.1,28,0,25.7%,5.3%,$18.99,109,4.5,$1.01,"-2,867",-67.67%,-588,-42.70%,"Automotive Parts & Accessories; Cell Phones & Accessories; Clothing, Shoes & Jewelry"
2022 ford bronco accessories 4 door,2022年福特野马配件4门版,"2,264,429",339,"-2,163",-15.67%,2,0.86%,"4,042",0.1,12,0,18.5%,,$19.99,347,4.5,,,,-618,-47.45%,Automotive Parts & Accessories
bronco phone mount,野马手机支架,"744,866","1,906","-11,751",-16.22%,39,2.05%,476,4.0,26,2,29.1%,1.7%,$38.00,41,4.0,$0.64,"1,042",120.60%,-369,-16.22%,Cell Phones & Accessories; Automotive Parts & Accessories; Handmade
bronco bimini,野马汽车的比米尼,"2,275,821",331,"-2,017",-16.41%,4,1.40%,130,2.6,12,3,48.1%,4.2%,$49.99,52,3.7,$2.08,,,-65,-16.41%,Automotive Parts & Accessories
bronco front bumper,布朗科前保险杠,"2,070,243",448,"-2,678",-16.73%,2,0.65%,388,1.2,19,3,43.3%,0.4%,$399.99,1,5.0,$1.44,,,-90,-16.73%,Automotive Parts & Accessories
2021 bronco accessories,2021 野马配件,"1,619,428",638,"-3,793",-16.82%,3,0.54%,"9,910",0.1,18,0,23.1%,2.5%,$89.99,62,4.0,$2.21,-818,-56.18%,-173,-25.59%,"Automotive Parts & Accessories; Cell Phones & Accessories; Clothing, Shoes & Jewelry"
bronco side steps,布朗克侧阶,"2,009,360",476,"-2,789",-17.07%,4,0.93%,310,1.5,21,4,32.3%,0.9%,$206.39,25,4.5,$1.85,,,-98,-17.07%,Automotive Parts & Accessories
bronco sasquatch accessories,布朗科-萨斯奎特配件,"2,203,270",379,"-2,130",-17.79%,1,0.38%,780,0.5,13,0,28.6%,5.6%,$19.99,13,4.0,$1.12,,,-82,-17.79%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco accessories 4 door,野马配件 4 门,"58,420","15,844","-84,321",-18.79%,63,0.40%,"10,403",1.5,63,0,13.0%,1.9%,$26.99,48,4.5,$0.51,"15,275","2,684.53%","-3,665",-18.79%,Automotive Parts & Accessories
ford bronco,福特野马,"150,999","7,459","-38,017",-19.62%,22,0.30%,"22,773",0.3,42,39,23.9%,5.8%,$15.16,8,4.5,$0.88,"-4,872",-39.51%,"-1,821",-19.62%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Home & Kitchen"
bronco lights,野马车灯,"1,664,880",620,"-2,936",-21.12%,14,2.41%,"4,377",0.1,14,0,34.2%,0.5%,$199.99,24,4.9,$1.01,,,-188,-21.12%,Automotive Parts & Accessories
bronco hood deflector,野马汽车引擎盖导流板,"1,846,170",545,"-2,579",-21.13%,12,2.29%,235,2.3,13,1,52.9%,1.3%,$99.99,34,4.0,$1.25,,,-146,-21.13%,Automotive Parts & Accessories
ford bronco sport key fob cover,福特布朗克运动型钥匙扣套,"1,759,568",580,"-2,736",-21.20%,2,0.38%,257,2.3,13,0,19.4%,,$16.99,14,3.4,,,,-156,-21.20%,Automotive Parts & Accessories
bronco roof rack,野马车顶架,"1,625,071",635,"-2,952",-21.51%,4,0.70%,213,3.0,18,2,46.1%,0.3%,$299.99,2,5.0,$0.85,,,-255,-26.37%,Automotive Parts & Accessories; Sports & Outdoors
ford bronco sport floor mats,福特野马运动地垫,"1,715,217",599,"-2,760",-21.70%,17,2.85%,513,1.2,13,1,43.3%,3.0%,$93.88,91,4.5,$2.78,,,-166,-21.70%,Automotive Parts & Accessories
iag bronco accessories,iag bronco配件,"876,306","1,500","-6,720",-22.32%,14,0.98%,591,2.5,28,0,21.1%,11.1%,$89.99,19,4.4,$10.00,,,-431,-22.32%,Automotive Parts & Accessories; Electronics
bronco cover 4 door,布朗克四门车罩,"1,664,878",620,"-2,654",-23.36%,4,0.76%,114,5.4,14,0,34.2%,1.5%,$74.89,180,4.3,$1.12,,,-189,-23.36%,Automotive Parts & Accessories
2023 bronco accessories,2023年的布朗克配件,"948,346","1,464","-5,901",-24.81%,1,0.10%,"3,921",0.4,27,0,12.6%,3.8%,$22.99,217,4.5,$0.88,,,-577,-24.81%,Automotive Parts & Accessories
bronco mabett,布朗科-马贝特,"1,239,302",899,"-3,549",-25.33%,19,2.19%,973,0.9,26,0,44.2%,0.9%,$149.99,15,4.0,$1.27,,,-613,-33.74%,Automotive Parts & Accessories
ford bronco spare tire cover,福特野马备胎罩,"2,082,717",442,"-1,727",-25.59%,10,2.38%,558,0.8,19,5,26.7%,1.1%,$39.99,20,3.7,$0.44,,,-152,-25.59%,Automotive Parts & Accessories
ford bronco tailgate table,福特野马尾箱表,"2,082,718",442,"-1,515",-29.17%,24,5.44%,23,19.2,19,2,40.0%,0.8%,$149.99,35,3.7,$1.21,,,-228,-29.17%,Automotive Parts & Accessories; Sports & Outdoors
bronco dash mount,野马汽车仪表盘支架,"1,706,796",602,"-2,046",-29.43%,17,2.87%,384,1.6,13,0,35.1%,3.2%,$39.99,10,4.5,$1.30,,,-251,-29.43%,Cell Phones & Accessories; Automotive Parts & Accessories
bronco bumper,野马保险杠,"1,750,786",583,"-1,954",-29.84%,12,2.18%,"1,838",0.3,13,2,50.0%,0.4%,$399.99,1,5.0,$1.46,,,-248,-29.84%,Automotive Parts & Accessories
2021 bronco sport accessories,2021 野马运动配件,"2,000,257",480,"-1,551",-30.94%,42,8.91%,"9,551",0.1,21,0,16.1%,5.7%,$15.68,104,4.0,$0.89,,,-215,-30.94%,Automotive Parts & Accessories; Cell Phones & Accessories
2022 bronco accessories 4 door,2022年野马汽车配件4门,"1,415,920",752,"-2,363",-31.82%,1,0.13%,"4,028",0.2,21,0,20.0%,7.6%,$19.99,217,4.5,$1.53,,,-351,-31.82%,Automotive Parts & Accessories
bronco hood struts,布朗克引擎盖支柱,"2,275,823",331,"-1,033",-32.03%,7,2.25%,191,1.7,12,1,62.9%,2.0%,$79.98,25,4.3,$1.57,,,-156,-32.03%,Automotive Parts & Accessories
bronco badlands accessories,布朗克坏境配件,"2,070,242",448,"-1,377",-32.53%,4,0.93%,664,0.7,19,0,20.0%,3.4%,$26.99,216,4.5,$0.93,,,-216,-32.53%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco seat covers 2023,勃朗科座椅套 2023,"1,706,798",602,"-1,839",-32.74%,3,0.54%,383,1.6,13,0,35.1%,0.3%,$209.99,96,4.5,$0.64,,,-293,-32.74%,Automotive Parts & Accessories
bronco soft top,布朗科软顶,"2,134,838",417,"-1,241",-33.60%,3,0.74%,"1,594",0.3,18,1,41.4%,0.3%,$587.89,6,3.9,$1.80,,,-211,-33.60%,Automotive Parts & Accessories
trx4 bronco accessories,trx4 野马配件,"2,054,771",455,"-1,310",-34.72%,2,0.60%,"1,585",0.3,20,0,22.6%,1.8%,$39.99,272,4.5,$0.73,-344,-43.05%,-242,-34.72%,Toys & Games; Automotive Parts & Accessories
bronco phone mount dash,Bronco电话支架仪表盘,"2,275,825",331,-940,-35.23%,31,9.39%,262,1.3,12,0,48.1%,3.7%,$43.99,41,4.0,$1.61,,,-180,-35.23%,Cell Phones & Accessories; Automotive Parts & Accessories
bronco sun shade,布朗克遮阳板,"1,420,321",748,"-2,049",-36.50%,6,0.87%,566,1.3,21,2,42.2%,3.5%,$49.99,21,4.3,$1.73,,,-430,-36.50%,Automotive Parts & Accessories; Sports & Outdoors
bronco hard top removal lift,布朗克硬顶的拆卸升降机,"1,046,905","1,198","-3,251",-36.85%,13,1.09%,52,23.0,28,0,53.2%,0.1%,$639.99,715,4.5,$0.67,,,-699,-36.85%,Automotive Parts & Accessories; Tools & Home Improvement; Sports & Outdoors
ford bronco key fob cover 2023,福特野马钥匙扣盖 2023年,"1,266,464",875,"-2,373",-36.87%,4,0.57%,54,16.2,25,0,25.5%,4.9%,$13.99,129,4.5,$0.68,,,-511,-36.87%,Automotive Parts & Accessories
ford bronco door storage bags,福特野马车门储物袋,"2,290,731",318,-853,-37.28%,17,5.38%,500,0.6,11,0,55.5%,1.2%,$229.99,8,3.7,$2.69,-211,-39.89%,-189,-37.28%,Automotive Parts & Accessories
bronco interior accessories,布朗克内部配件,"2,203,268",379,-998,-37.97%,1,0.43%,"10,927",0.0,13,3,25.0%,4.2%,$35.99,31,4.0,$1.50,,,-232,-37.97%,Automotive Parts & Accessories
bronco sport sun shade,野马运动遮阳伞,"1,550,764",666,"-1,481",-44.96%,4,0.70%,382,1.7,19,1,53.7%,7.3%,$25.99,153,4.5,$1.89,147,28.32%,-544,-44.96%,Automotive Parts & Accessories
bronco antenna,布朗科天线,"2,275,820",331,-722,-45.83%,8,2.51%,433,0.8,12,2,29.6%,4.6%,$35.00,"1,708",4.4,$1.61,,,-280,-45.83%,Automotive Parts & Accessories
bronco accessories 2 door,野马配件2门,"844,049","1,552","-3,359",-46.20%,2,0.15%,"9,799",0.2,29,1,11.5%,3.7%,$54.99,3,5.0,$2.02,,,"-1,333",-46.20%,Automotive Parts & Accessories
bronco tube doors,野马管门,"1,420,322",748,"-1,614",-46.34%,8,1.20%,100,7.5,21,0,57.8%,0.2%,$499.99,2,4.5,$1.24,,,-646,-46.34%,Automotive Parts & Accessories
bronco front license plate bracket,Bronco前牌照托架,"2,070,244",448,-944,-47.48%,7,1.66%,301,1.5,19,1,60.0%,,$29.29,13,4.5,,,,-405,-47.48%,Automotive Parts & Accessories; Handmade
2023 ford bronco accessories 4 door,2023年福特野马配件4门版,"1,510,971",683,"-1,437",-47.54%,6,0.92%,"2,503",0.3,19,0,21.4%,,$27.99,151,4.5,,,,-619,-47.54%,Automotive Parts & Accessories
bronco foot pegs,布朗克脚踏板,"1,550,761",666,"-1,369",-48.65%,5,0.82%,145,4.6,19,1,48.8%,6.9%,$19.99,7,4.8,$1.38,,,-631,-48.65%,Automotive Parts & Accessories
bronco interior lights,野马车内灯,"2,275,824",331,-650,-50.96%,3,1.15%,"2,510",0.1,12,0,55.5%,1.5%,$119.99,11,4.0,$1.75,,,-344,-50.96%,Automotive Parts & Accessories
bronco center console cover,布朗科中央控制台盖,"2,275,822",331,-646,-51.25%,13,4.06%,843,0.4,12,0,51.8%,8.3%,$19.99,64,4.5,$1.66,,,-348,-51.25%,Automotive Parts & Accessories
bronco tailgate storage,布朗克尾门存储,"2,353,271",231,-435,-53.14%,6,2.65%,473,0.5,10,3,42.3%,1.6%,$58.99,13,3.7,$0.94,,,-262,-53.14%,Automotive Parts & Accessories; Electronics
bronco grab handles 2023,野马抓手2023,"2,070,245",448,-818,-54.79%,7,1.61%,8,56.0,19,0,33.3%,7.2%,$23.59,25,4.5,$1.69,,,-543,-54.79%,"Automotive Parts & Accessories; Toys & Games; Health, Household & Baby Care"
bronco sunglass holder,野马太阳镜架,"2,275,826",331,-572,-57.89%,7,2.41%,519,0.6,12,0,51.8%,6.5%,$18.99,5,3.7,$1.23,,,-455,-57.89%,Automotive Parts & Accessories
ford bronco 2023 accessories,福特Bronco 2023配件,"2,369,066",100,-161,-61.98%,1,0.71%,"4,212",0.0,8,0,23.1%,3.6%,$18.99,"2,839",4.5,$0.69,,,-374,-61.98%,Automotive Parts & Accessories
2022 ford bronco sport accessories,2022 福特野马运动配件,"2,264,430",339,-473,-71.70%,2,0.85%,"9,333",0.0,12,0,29.6%,,$29.99,186,4.5,,"-1,456",-81.11%,-859,-71.70%,Automotive Parts & Accessories; Cell Phones & Accessories
bronco grill lights,布朗克格栅灯,"2,353,269",231,-320,-72.20%,5,2.30%,678,0.3,10,0,61.5%,3.0%,$41.99,89,4.3,$1.26,,,-600,-72.20%,Automotive Parts & Accessories
2020 bronco sport accessories,2020年布朗克运动配件,"1,789,853",568,-750,-75.72%,2,0.48%,"6,029",0.1,13,0,100.0%,3.4%,$14.99,322,4.8,$0.51,,,"-1,771",-75.72%,Automotive Parts & Accessories
bronco top lift,布朗克顶部升降机,"2,436,149",100,-130,-76.80%,1,1.04%,"1,537",0.1,8,0,56.0%,0.1%,$639.99,55,4.3,$0.68,,,-331,-76.80%,"Automotive Parts & Accessories; Sports & Outdoors; Clothing, Shoes & Jewelry"
2023 ford bronco running boards 4 door,2023年福特野马的四门跑板,"2,423,098",100,-130,-77.01%,1,1.26%,55,1.8,8,0,52.0%,,$299.00,35,4.3,,,,-335,-77.01%,Automotive Parts & Accessories
ford bronco decal,福特野马贴花,"2,369,068",100,-126,-79.25%,1,0.59%,"2,516",0.0,8,0,26.9%,4.8%,$18.99,21,4.3,$0.92,,,-382,-79.25%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Computers"
bronco cargo liner,布朗科货物衬垫,"2,436,145",100,-126,-79.47%,1,1.21%,343,0.3,8,2,64.0%,2.9%,$119.68,127,4.5,$3.46,,,-387,-79.47%,Automotive Parts & Accessories
2022 ford bronco,2022年福特野马,"2,423,079",100,-124,-80.77%,1,0.81%,196,0.5,8,2,40.0%,0.5%,$119.99,48,4.5,$0.64,-726,-87.89%,-420,-80.77%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco steering wheel cover,野马方向盘套,"2,436,148",100,-121,-82.58%,1,0.87%,"1,162",0.1,8,0,52.0%,3.3%,$16.99,15,3.5,$0.56,-613,-85.97%,-474,-82.58%,Automotive Parts & Accessories; Sports & Outdoors
ford bronco antenna,福特野马天线,"2,453,050",100,-120,-83.55%,5,5.60%,425,0.2,8,0,36.0%,19.2%,$19.99,"2,472",4.3,$3.83,-480,-82.76%,-508,-83.55%,Automotive Parts & Accessories
